track_num,start,end,speaker,category,phrase,title
1,0:00,0:00,jack,misc, , 
1,0:02,0:03,backup,grateful,I really wanna be grateful,no
1,0:27,0:29,jack,misc,They closed the parkway late last night,no
1,0:30,0:34,jack,lies,And as I sat with the echoes of the lies that I told,no
1,0:35,0:39,jack,misc,"I felt young, never changed by crooked hearts",no
1,0:40,0:42,jack,misc,So put the shotgun back in the glove ,no
1,0:43,0:47,jack,dream,Come on and wait another year for a dream far away,no
1,0:48,0:49,jack,misc,"To come home, to be brave",no
1,0:51,0:52,jack,misc,Well everything has changed,no
1,0:53,0:56,jack,misc,And now it's only you that matters,no
1,0:57,1:00,jack,wildheart,I will find any way to your wild heart,yes
1,1:13,1:15,jack,misc,They boarded up the windows and the doors to my house,no
1,1:16,1:19,jack,lies,No one will ever read the letters or the lies that I told,no
1,1:20,1:24,jack,misc,From the years I was changed by crooked hearts,no
1,1:25,1:27,jack,misc,Why did they have to go and do us like that,no
1,1:28,1:31,jack,dream,Why did they have to go and run from a dream far away,no
1,1:32,1:34,jack,misc,Were we there? Was I brave?,no
1,1:35,1:40,jack,misc,To think that everything must die for anyone to matter,no
1,1:41,1:45,jack,wildheart,Got to find any way to your wild heart,yes
1,1:54,1:57,jack,wildheart,I will find any way to your wild heart,yes
1,2:05,2:07,backup,misc,I will find any way,no
1,2:09,2:13,jack,misc,Well now everything has changed and I can't tell what matters,no
1,2:15,2:19,jack,wildheart,I will find any way to your wild heart,yes
1,2:20,2:22,jack,wildheart,Your wild heart,yes
1,2:23,2:25,jack,wildheart,Your wild heart,yes
1,2:26,2:28,jack,wildheart,Your wild heart,yes
1,2:29,2:31,jack,wildheart,Your wild heart,yes
1,2:32,2:34,jack,wildheart,Your wild heart,yes
1,2:35,2:37,jack,wildheart,Your wild heart,yes
1,2:38,2:40,jack,wildheart,Your wild heart,yes
1,2:53,2:56,backup,misc,I really wanna be grateful for the experiences that I've had,no
2,0:25,0:27,jack,misc,It was summer when I saw your face,no
2,0:28,0:29,jack,misc,Looked like a teenage runaway,no
2,0:30,0:32,jack,misc,Oh God I never thought we'd take it that far,no
2,0:33,0:35,jack,misc,Some killer queen you are,no
2,0:36,0:38,jack,misc,And now I'm running and I can't stop anywhere I go,no
2,0:39,0:41,jack,misc,I think about it every day and night I can't let go,no
2,0:42,0:43,jack,misc,Man I'm never the same ,no
2,0:44,0:47,jack,misc,"We were shotgun lovers, I'm a shotgun running away",no
2,0:48,0:50,jack,misc,So come a little closer,no
2,0:51,0:53,jack,misc,There was something I could tell ya,no
2,0:54,0:55,jack,rollercoaster,You were such a rollercoaster,yes
2,0:57,0:59,jack,misc,And a killer queen you are,no
2,1:00,1:01,backup,rollercoaster,R-rollercoaster,yes
2,1:01,1:02,jack,misc,I don't say no,no
2,1:03,1:04,backup,rollercoaster,R-rollercoaster,yes
2,1:04,1:05,jack,misc,When you don't say no,no
2,1:06,1:08,jack,rollercoaster,And it's such a rollercoaster,yes
2,1:09,1:10,jack,misc,Some killer queen you are,no
