track_title,album,artist,track_num,duration,cumulative_duration,start,end,single_count,color
Dream of Mickey Mantle,Gone Now,Bleachers,1,3:10,3:10,0:00,3:10,0,#313131
Goodmorning,Gone Now,Bleachers,2,3:13,6:23,3:10,6:23,0,#CDCDCD
Hate That You Know Me,Gone Now,Bleachers,3,3:06,9:29,6:23,9:29,0,#DB4C1C
Don't Take The Money,Gone Now,Bleachers,4,3:36,13:05,9:29,13:05,1,#F03C27
Everybody Lost Somebody,Gone Now,Bleachers,5,3:55,17:00,13:05,17:00,0,#676767
All My Heroes,Gone Now,Bleachers,6,3:04,20:04,17:00,20:04,0,#FD3A24
Let's Get Married,Gone Now,Bleachers,7,3:06,23:10,20:04,23:10,0,#DEDEDE
Goodbye,Gone Now,Bleachers,8,2:57,26:07,23:10,26:07,0,#D1D1D1
I Miss Those Days,Gone Now,Bleachers,9,3:38,29:45,26:07,29:45,2,#CE6F62
Nothing Is U,Gone Now,Bleachers,10,2:23,32:08,29:45,32:08,0,#FDEFDA
I'm Ready To Move On/Mickey Mantle Reprise,Gone Now,Bleachers,11,4:24,36:32,32:08,36:32,0,#3A3A3A
Foreign Girls,Gone Now,Bleachers,12,4:01,40:33,36:32,40:33,0,#EDEDED
