track_num,start,end,speaker,category,phrase
1,0:00,0:04,ella,misc,Don't you think that it's boring how people talk?
1,0:11,0:18,ella,misc,"Making smart with their words again, well I'm bored"
1,0:20,0:23,ella,misc,Because I'm doing this for the thrill of it
1,0:24,0:26,ella,misc,"Killing it, never not chasing a million things I want"
1,0:30,0:32,ella,misc,And I am only as young as the minute is
1,0:34,0:37,ella,misc,"Full of it, getting pumped up on the little bright things I bought"
1,0:39,0:41,ella,misc,But I know they'll never own me
1,0:41,0:41,backup,misc,Yeah
1,0:43,0:45,ella,misc,Baby be the class clown
1,0:46,0:48,ella,misc,I'll be the beauty queen in tears
1,0:49,0:51,ella,misc,"It's a new art form, showing people how little we care"
1,0:52,0:52,backup,misc,Yeah
1,0:53,0:58,ella,misc,We're so happy even when we're smiling out of fear
1,0:59,1:03,tennis,tennis,Let's go down to the tennis court and talk it up like yeah
1,1:03,1:03,ella,misc,Yeah
1,1:04,1:09,ella,misc,Pretty soon I'll be getting on my first plane
1,1:14,1:21,ella,misc,I'll see the veins of my city like they do in space
1,1:24,1:26,ella,misc,But my head's filling up fast with the wicked games
1,1:27,1:30,ella,misc,"Up in flames, how can I fuck with the fun again when I'm knowing"
1,1:34,1:36,ella,misc,And my boys trip me up with their heads again
1,1:37,1:41,ella,misc,"Loving them, everything's cool when we're all in line for the throne"
1,1:44,1:45,ella,misc,But I know it's not forever
1,1:45,1:45,backup,misc,Yeah
1,1:47,1:48,ella,misc,Baby be the class clown
1,1:49,1:51,ella,misc,I'll be the beauty queen in tears
1,1:52,1:55,ella,misc,"It's a new art form, showing people how little we care"
1,1:55,1:56,backup,misc,Yeah
1,1:57,2:01,ella,misc,We're so happy even when we're smiling out of fear
1,2:02,2:07,ella,tennis,Let's go down to the tennis court and talk it up like yeah
1,2:07,2:08,backup,misc,Yeah
1,2:10,2:12,ella,misc,It looked alright in the pictures
1,2:12,2:13,backup,misc,Yeah
1,2:14,2:18,ella,misc,"Getting caught's half of the trip though, isn't it?"
1,2:20,2:22,ella,misc,I fall apart with all my heart
1,2:26,2:28,ella,misc,You can watch from your window
1,2:31,2:33,ella,misc,"Yeah, you can watch from your window"
1,2:34,2:36,ella,misc,Baby be the class clown
1,2:37,2:39,ella,misc,I'll be the beauty queen in tears
1,2:40,2:43,ella,misc,"It's a new art form, showing people how little we care"
1,2:44,2:45,backup,misc,Yeah
1,2:45,2:50,ella,misc,We're so happy even when we're smiling out of fear
1,2:51,2:54,ella,tennis,Let's go down to the tennis court and talk it up like yeah
1,2:55,2:56,backup,misc,Yeah
1,2:56,2:57,ella,misc,And talk it up like yeah
1,2:57,2:58,backup,misc,Yeah
1,2:58,2:59,ella,misc,And talk it up like yeah
