track_title,album,artist,track_num,duration,cumulative_duration,start,end,single_count
Wild Heart,Strange Desire,Bleachers,1,3:20,3:20,0:00,3:20,0
Rollercoaster,Strange Desire,Bleachers,2,3:09,6:29,3:20,6:29,3
Shadow,Strange Desire,Bleachers,3,3:52,10:21,6:29,10:21,2
I Wanna Get Better,Strange Desire,Bleachers,4,3:25,13:46,10:21,13:46,1
Wake Me,Strange Desire,Bleachers,5,2:44,16:30,13:46,16:30,0
Reckless Love,Strange Desire,Bleachers,6,3:01,19:31,16:30,19:31,0
Take Me Away,Strange Desire,Bleachers,7,2:30,22:01,19:31,22:01,0
Like a River Runs,Strange Desire,Bleachers,8,3:33,25:34,22:01,25:34,4
You're Still a Mystery,Strange Desire,Bleachers,9,4:25,29:59,25:34,29:59,0
I'm Ready to Move On/Wild Heart Reprise,Strange Desire,Bleachers,10,4:11,34:10,29:59,34:10,0
Who I Want You to Love,Strange Desire,Bleachers,11,4:51,39:01,34:10,39:01,0
