track_num,start,end,speaker,category,phrase,timeframe
1,0:00,0:00,ella,misc, ,unknown
1,0:00,0:03,ella,car,I do my makeup in somebody else's car,present
1,0:07,0:11,ella,misc,We order different drinks at the same bars,present
1,0:14,0:18,ella,misc,I know about what you did and I wanna scream the truth,present
1,0:22,0:26,ella,misc,"She thinks you love the beach, you're such a damn liar",present
1,0:30,0:35,ella,teeth,"Those great whites, they have big teeth — hope they bite you",present
1,0:35,0:37,ella,misc,Thought you said that you would always be in love,past
1,0:38,0:40,ella,misc,But you're not in love no more,present
1,0:41,0:44,ella,dance,Did it frighten you how we kissed when we danced on the light-up floor?,past
1,0:45,0:46,ella,misc,On the light-up floor?,past
1,0:48,0:51,ella,misc,But I hear sounds in my mind,present
1,0:56,0:58,ella,misc,Brand new sounds in my mind,present
1,1:01,1:07,ella,misc,But honey I'll be seeing you where ever I go,future
1,1:09,1:14,ella,misc,But honey I'll be seeing you down every road,future
1,1:14,1:17,backup,greenlight,"I'm waiting for it, that green light, I want it",present
1,1:17,1:21,ella,misc,"Cause honey I'll come get my things, but I can't let go",present
1,1:22,1:24,backup,greenlight,"I'm waiting for it, that green light, I want it",present
1,1:24,1:29,ella,misc,Oh I wish I could get my things and just let go,present
1,1:29,1:31,backup,greenlight,"I'm waiting for it, that green light, I want it",present
1,1:32,1:35,ella,misc,Sometimes I wake up in a different bedroom,present
1,1:40,1:43,ella,misc,I whisper things the city sings them back to you,present
1,1:47,1:53,ella,teeth,"Well those rumors, they have big teeth — hope they bite you",present
1,1:54,1:55,ella,misc,Thought you said that you would always be in love,past
1,1:56,1:58,ella,misc,But you're not in love no more,present
1,2:00,2:03,ella,dance,Did it frighten you how we kissed when we danced on the light-up floor?,past
1,2:04,2:05,ella,misc,On the light-up floor?,past
1,2:07,2:10,ella,misc,But I hear sounds in my mind,present
1,2:14,2:18,ella,misc,Brand new sounds in my mind,present
1,2:19,2:25,ella,misc,But honey I'll be seeing you where ever I go,future
1,2:27,2:32,ella,misc,But honey I'll be seeing you down every road,future
1,2:32,2:33,backup,greenlight,"I'm waiting for it, that green light, I want it",present
