album_title,artist,album_id,date,color,title,Track Number,track_num_scaled,rating_rel,rating_abs,comments
Gone Now,Bleachers,18,6/2/2017,#e53b19,Dream of Mickey Mantle,1,0,4,9,
Gone Now,Bleachers,18,6/2/2017,#e53b19,Goodmorning,2,0.090909091,4,9,
Gone Now,Bleachers,18,6/2/2017,#e53b19,Hate That You Know Me,3,0.181818182,2,7,
Gone Now,Bleachers,18,6/2/2017,#e53b19,Don't Take The Money,4,0.272727273,4,9,
Gone Now,Bleachers,18,6/2/2017,#e53b19,Everybody Lost Somebody,5,0.363636364,4,9,
Gone Now,Bleachers,18,6/2/2017,#e53b19,All My Heroes,6,0.454545455,4,10,
Gone Now,Bleachers,18,6/2/2017,#e53b19,Let's Get Married,7,0.545454545,4,9,
Gone Now,Bleachers,18,6/2/2017,#e53b19,Goodbye,8,0.636363636,4,10,
Gone Now,Bleachers,18,6/2/2017,#e53b19,I Miss Those Days,9,0.727272727,3,8,
Gone Now,Bleachers,18,6/2/2017,#e53b19,Nothing Is U,10,0.818181818,4,10,
Gone Now,Bleachers,18,6/2/2017,#e53b19,I'm Ready To Move On/Mickey Mantle Reprise,11,0.909090909,4,10,
Gone Now,Bleachers,18,6/2/2017,#e53b19,Foreign Girls,12,1,4,10,
Melodrama,Lorde,15,6/16/2017,#6c46c4,Green Light,1,0,4,10,
Melodrama,Lorde,15,6/16/2017,#6c46c4,Sober,2,0.1,4,10,
Melodrama,Lorde,15,6/16/2017,#6c46c4,Homemade Dynamite,3,0.2,2,7,
Melodrama,Lorde,15,6/16/2017,#6c46c4,The Louvre,4,0.3,4,10,
Melodrama,Lorde,15,6/16/2017,#6c46c4,Liability,5,0.4,4,9,
Melodrama,Lorde,15,6/16/2017,#6c46c4,Hard Feelings/Loveless,6,0.5,4,10,
Melodrama,Lorde,15,6/16/2017,#6c46c4,Sober II (Melodrama),7,0.6,4,9,
Melodrama,Lorde,15,6/16/2017,#6c46c4,Writer in the Dark,8,0.7,4,9,
Melodrama,Lorde,15,6/16/2017,#6c46c4,Supercut,9,0.8,4,9,
Melodrama,Lorde,15,6/16/2017,#6c46c4,Liability (Reprise),10,0.9,4,10,
Melodrama,Lorde,15,6/16/2017,#6c46c4,Perfect Places,11,1,3,8,
Masseduction,St Vincent,5,10/13/2017,#ff3877,Hang On Me,1,0,2,6,
Masseduction,St Vincent,5,10/13/2017,#ff3877,Pills,2,0.083333333,4,9,
Masseduction,St Vincent,5,10/13/2017,#ff3877,Masseduction,3,0.166666667,2,6,
Masseduction,St Vincent,5,10/13/2017,#ff3877,Sugarboy,4,0.25,1,5,
Masseduction,St Vincent,5,10/13/2017,#ff3877,Los Ageless,5,0.333333333,4,9,
Masseduction,St Vincent,5,10/13/2017,#ff3877,Happy Birthday Johnny,6,0.416666667,2,8,
Masseduction,St Vincent,5,10/13/2017,#ff3877,Savior,7,0.5,3,8,
Masseduction,St Vincent,5,10/13/2017,#ff3877,New York,8,0.583333333,3,8,
Masseduction,St Vincent,5,10/13/2017,#ff3877,Fear The Future,9,0.666666667,1,7,
Masseduction,St Vincent,5,10/13/2017,#ff3877,Young Lover,10,0.75,4,9,
Masseduction,St Vincent,5,10/13/2017,#ff3877,Dancing With A Ghost,11,0.833333333,1,5,
Masseduction,St Vincent,5,10/13/2017,#ff3877,Slow Disco,12,0.916666667,4,7,
Masseduction,St Vincent,5,10/13/2017,#ff3877,Smoking Section,13,1,4,10,
Strange Desire,Bleachers,19,7/10/2014,#047bd6,Wild Heart,1,0,4,10,
Strange Desire,Bleachers,19,7/10/2014,#047bd6,Rollercoaster,2,0.1,3,8,
Strange Desire,Bleachers,19,7/10/2014,#047bd6,Shadow,3,0.2,2,7,
Strange Desire,Bleachers,19,7/10/2014,#047bd6,I Wanna Get Better,4,0.3,4,10,
Strange Desire,Bleachers,19,7/10/2014,#047bd6,Wake Me,5,0.4,4,9,
Strange Desire,Bleachers,19,7/10/2014,#047bd6,Reckless Love,6,0.5,4,10,
Strange Desire,Bleachers,19,7/10/2014,#047bd6,Take Me Away,7,0.6,3,9,
Strange Desire,Bleachers,19,7/10/2014,#047bd6,Like a River Runs,8,0.7,4,10,
Strange Desire,Bleachers,19,7/10/2014,#047bd6,You're Still a Mystery,9,0.8,4,9,
Strange Desire,Bleachers,19,7/10/2014,#047bd6,I'm Ready to Move On/Wild Heart Reprise,10,0.9,4,10,
Strange Desire,Bleachers,19,7/10/2014,#047bd6,Who I Want You to Love,11,1,4,10,
Some Nights,fun,17,2/21/2012,#ffd396,Some Nights (Intro),1,0,3,7,"<p>My friend who vehemently despises fun likes to refer to this song as ""circus music"", which I think is probably pretty accurate. I love it, though. I think it's a bold way to open an album. Also, I really like that they made a music video for this weird half-song even though it wasn't a single.</p>"
Some Nights,fun,17,2/21/2012,#ffd396,Some Nights,2,0.1,4,10,"<p>I remember listening to this song on the radio in the summer of 2013 as I drove to my summer job mowing lawns in Denver. I had to drive on this really scary portion of the highway and as a new driver it was terrifying. Some Nights would often come on the radio and I remember 16-year-old me identifying heavily with wanting my lips to build a castle and simultaneously wanting them to fall off. As I prepared myself to spend the day doing manual labor in the middle of a Colorado summer, the line ""Who the fuck wants to die alone, all caught up in the desert sun?"" also felt particularly relevant to my life.</p> <p>That line references my favorite song from Nate's old band, The Format, where he sings:</p> <p class=lyrics>And these last three years, I know they've been hard<br>But now it's time to get out of the desert and into the sun, even if it's alone.</p><p>The song is called ""On Your Porch"" and it's worth a listen for anyone who likes fun."
Some Nights,fun,17,2/21/2012,#ffd396,We Are Young,3,0.2,3,9,"<p>Is there anything else left to say about We Are Young? I think it's one of those songs that becomes so well known outside of its album that it becomes difficult to see it as part of the rest of the work. When I think of Some Nights, I don't think of We Are Young. Maybe that's bad, or maybe it just is.</p>"
Some Nights,fun,17,2/21/2012,#ffd396,Carry On,4,0.3,3,9,
