date,composer,composer_id,composer_gender,nationality,work,soloist,instrument,conductor,orchestra,venue,,,
3/17/2011,Gustav Mahler ,2,m,2, Symphony No. 9 in D major,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Carnegie Hall,,,
7/14/2012,Pyotr Ilyich Tchaikovsky ,4,m,4, Quartet for Strings No. 1 in D major, Op. 11: (2) Andante cantabile, arr. for cello and string orchesta,Andris Nelsons , Conductor,nan,BSO; Boston Pops; TMCO,Tanglewood - Shed,
7/14/2012,Pablo de Sarasate ,80,m,80, Carmen Fantasy for Violin and Orchestra, Op. 25,Andris Nelsons , Conductor,nan,nan,nan,,
7/14/2012,Maurice Ravel ,13,m,13, Valse, La,Andris Nelsons , Conductor,nan,nan,nan,,
7/15/2012,Igor Stravinsky ,30,m,30, Symphony of Psalms [Symphonie de Psaumes], for orchestra with chorus,Tanglewood Festival Chorus , SATB Chorus,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
7/15/2012,Johannes Brahms ,8,m,8, Symphony No. 2 in D major, Op. 73,nan,nan,nan,nan,nan,,
1/31/2013,Dmitri Shostakovich ,1,m,1, Concerto for Violin No. 1 in A minor, Op. 77(99),Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
1/31/2013,Pyotr Ilyich Tchaikovsky ,4,m,4, Symphony No. 5 in E minor, Op. 64,nan,nan,nan,nan,nan,,
1/31/2013,Johann Sebastian Bach ,10,m,10, Partita for Violin No. 2 in D Minor S1004: (5) Chaconne,nan,nan,nan,nan,nan,,,
2/1/2013,Dmitri Shostakovich ,1,m,1, Concerto for Violin No. 1 in A minor, Op. 77(99),Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/1/2013,Pyotr Ilyich Tchaikovsky ,4,m,4, Symphony No. 5 in E minor, Op. 64,nan,nan,nan,nan,nan,,
2/2/2013,Dmitri Shostakovich ,1,m,1, Concerto for Violin No. 1 in A minor, Op. 77(99),Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/2/2013,Pyotr Ilyich Tchaikovsky ,4,m,4, Symphony No. 5 in E minor, Op. 64,nan,nan,nan,nan,nan,,
2/5/2013,Dmitri Shostakovich ,1,m,1, Concerto for Violin No. 1 in A minor, Op. 77(99),Baiba Skride , Violin,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
2/5/2013,Pyotr Ilyich Tchaikovsky ,4,m,4, Symphony No. 5 in E minor, Op. 64,nan,nan,nan,nan,nan,,
10/17/2013,Richard Wagner ,14,m,14, Siegfried Idyll,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/17/2013,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 25 in C major, K. 503,Paul Lewis , Piano,nan,nan,nan,,
10/17/2013,Johannes Brahms ,8,m,8, Symphony No. 3 in F major, Op. 90,nan,nan,nan,nan,nan,,
10/18/2013,Richard Wagner ,14,m,14, Siegfried Idyll,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/18/2013,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 25 in C major, K. 503,Paul Lewis , Piano,nan,nan,nan,,
10/18/2013,Johannes Brahms ,8,m,8, Symphony No. 3 in F major, Op. 90,nan,nan,nan,nan,nan,,
10/19/2013,Richard Wagner ,14,m,14, Siegfried Idyll,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
10/19/2013,Wolfgang Amadeus Mozart ,6,m,6, Concerto for Piano No. 25 in C major, K. 503,Paul Lewis , Piano,nan,nan,nan,,
10/19/2013,Johannes Brahms ,8,m,8, Symphony No. 3 in F major, Op. 90,nan,nan,nan,nan,nan,,
3/6/2014,Richard Strauss ,3,m,3, Salome, Op. 54,Dominic Armstrong , Tenor Gun-Brit Barkmin ,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
7/11/2014,Antonin Dvorak ,16,m,16, Noonday Witch, Op.108,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
7/11/2014,Antonin Dvorak ,16,m,16, Concerto for Violin in A minor, Op. 53,Anne-Sophie Mutter , Violin,nan,nan,nan,,
7/11/2014,Antonin Dvorak ,16,m,16, Symphony No. 8 in G major, Op. 88,nan,nan,nan,nan,nan,,
7/12/2014,Richard Strauss ,3,m,3, Rosenkavalier, Der, Op. 59: Suite,Sophie Bevan , Soprano Angela Denoke ,Andris Nelsons,BSO; TMCO,Tanglewood - Shed,
7/12/2014,Richard Strauss ,3,m,3, Rosenkavalier, Der, Op. 59: Final Scene,Sophie Bevan , Soprano Angela Denoke ,nan,nan,nan,
7/12/2014,Sergei Rachmaninoff ,9,m,9, Symphonic Dances, Op. 45,BSO Boston Symphony Orchestra , Orchestra,nan,nan,nan,,
7/12/2014,Maurice Ravel ,13,m,13, Bolero,BSO Boston Symphony Orchestra , Orchestra,nan,nan,nan,,,
7/19/2014,Johannes Brahms ,8,m,8, Symphony No. 3 in F major, Op. 90,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,
7/19/2014,Rolf Martinsson ,77,m,77, Concerto for Trumpet No. 1, Op. 47," ""Bridge""",Håkan Hardenberger , Trumpet,nan,nan,nan,
7/19/2014,Pyotr Ilyich Tchaikovsky ,4,m,4, Capriccio Italien, Op. 45,nan,nan,nan,nan,nan,,
7/20/2014,Christopher Rouse ,69,m,69, Rapture,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Tanglewood - Shed,,,
7/20/2014,Edouard Lalo ,75,m,75, Symphonie espagnole [Spanish Symphony] for violin and orchestra, Op. 21,Joshua Bell , Violin,nan,nan,nan,,
7/20/2014,Ludwig van Beethoven ,5,m,5, Symphony No. 5 in C minor, Op. 67,nan,nan,nan,nan,nan,,
9/27/2014,Richard Wagner ,14,m,14, Tannhäuser: Overture,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,,
9/27/2014,Richard Wagner ,14,m,14, Lohengrin: Act 3: Lohengrin's Narrative, In fernem Land [In Distant Land],Jonas Kaufmann , Tenor,nan,nan,nan,,
9/27/2014,Richard Wagner ,14,m,14, Tristan und Isolde: Act 3: Prelude and Liebestod,Kristine Opolais , Soprano,nan,nan,nan,,,
9/27/2014,Pietro Mascagni ,63,m,63," Cavalleria Rusticana: Act 2: ""Mamma"," quel vino è generoso""",Jonas Kaufmann , Tenor,nan,nan,nan,,
9/27/2014,Alfredo Catalani ,66,m,66, Wally: Ebben? Ne andrò lontana,Kristine Opolais , Soprano,nan,nan,nan,,,
9/27/2014,Pietro Mascagni ,63,m,63, Cavalleria Rusticana: Intermezzo,nan,nan,nan,nan,nan,,,
9/27/2014,Giacomo Puccini ,22,m,22, Manon Lescaut, Act 2: Love Duet,Jonas Kaufmann , Tenor Kristine Opolais ,nan,nan,nan,,
9/27/2014,Giacomo Puccini ,22,m,22, Bohème, La: Act 1: Finale, O soave fanciulla,Jonas Kaufmann , Tenor Kristine Opolais ,nan,nan,nan,
9/27/2014,Ottorino Respighi ,78,m,78, Pines of Rome [Pini di Roma],nan,nan,nan,nan,nan,,,
10/1/2014,Ludwig van Beethoven ,5,m,5, Symphony No. 8 in F major, Op. 93,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
10/1/2014,Bela Bartok ,27,m,27, Miraculous Mandarin: Suite, Op. 19,nan,nan,nan,nan,nan,,
10/1/2014,Pyotr Ilyich Tchaikovsky ,4,m,4, Symphony No. 6 in B minor," ""Pathetique""",nan,nan,nan,nan,nan,,
10/2/2014,Ludwig van Beethoven ,5,m,5, Symphony No. 8 in F major, Op. 93,nan,nan,Andris Nelsons,Boston Symphony Orchestra,Symphony Hall,,
